Date,BTC Open,BTC High,BTC Low,BTC Close,BTC Volume,ETH Price,XRP Price,LTC Price,Oil price,Gold Price,DJI Price
2019/3/29,4068.299805,4113.500977,4034.097168,4098.374512,10918665556,142.497421,0.30695619,60.50860263,60.14 ,1298.50 ,25928.68 
2019/3/30,4092.13623,4296.806641,4053.909668,4106.660156,9732688060,142.092682,0.307939693,61.39798314,60.62 ,1297.07 ,26038.59 
2019/3/31,4105.456055,4113.023438,4094.10083,4105.404297,9045122442,141.514099,0.311000171,60.41276217,61.11 ,1295.63 ,26148.51 
2019/4/1,4105.362305,4164.953125,4096.901367,4158.183105,10157794170,141.830322,0.309343774,60.51794729,61.59 ,1294.20 ,26258.42 
2019/4/2,4156.919434,4905.95459,4155.316895,4879.87793,21315047816,163.961746,0.312940273,60.48136651,62.58 ,1295.40 ,26179.13 
2019/4/3,4879.958008,5307.003418,4876.621094,4973.021973,22899891582,161.458801,0.351873643,77.0078295,62.46 ,1295.30 ,26218.13 
2019/4/4,4971.307617,5063.159668,4836.793945,4922.798828,18251810239,158.052536,0.341742643,84.77991313,62.10 ,1294.30 ,26384.63 
2019/4/5,4922.806152,5053.509766,4919.491699,5036.681152,16837325387,165.514847,0.331021978,84.68843264,63.08 ,1295.60 ,26424.99 
2019/4/6,5036.792969,5205.821777,4992.222168,5059.817383,16929795193,165.947205,0.362111434,88.3169774,63.52 ,1297.70 ,26397.00 
2019/4/7,5062.793945,5235.186523,5050.412109,5198.896973,16655416140,174.531647,0.353476489,92.40964392,63.96 ,1299.80 ,26369.01 
2019/4/8,5199.835449,5318.836426,5148.211914,5289.770996,17154113634,180.25882,0.359223339,91.66016469,64.40 ,1301.90 ,26341.02 
2019/4/9,5289.917969,5289.917969,5167.418945,5204.958496,14722104361,176.114578,0.358014325,88.95639807,63.98 ,1308.30 ,26150.58 
2019/4/10,5204.105469,5421.651367,5193.382324,5324.551758,15504590933,177.337479,0.348685469,86.1417982,64.61 ,1313.90 ,26157.16 
2019/4/11,5325.081543,5354.225586,5017.296387,5064.487793,16555616019,165.497025,0.354656089,88.29742062,63.58 ,1293.30 ,26143.05 
2019/4/12,5061.200684,5103.274414,4955.852539,5089.539063,13675206312,164.736328,0.329859984,79.32923549,63.89 ,1295.20 ,26412.30 
2019/4/13,5088.850098,5127.12207,5061.589355,5096.586426,10823289598,164.513351,0.326728105,78.96172107,63.73 ,1293.90 ,26403.12 
2019/4/14,5095.758789,5184.016113,5053.568359,5167.722168,10391952498,167.838516,0.325649272,78.05600051,63.56 ,1292.60 ,26393.95 
2019/4/15,5167.321777,5196.606934,5024.069336,5067.108398,12290155060,161.574173,0.328243595,83.10697356,63.40 ,1291.30 ,26384.77 
2019/4/16,5066.577637,5238.945313,5055.194824,5235.55957,11618660197,167.623444,0.319633453,78.40554723,64.05 ,1277.20 ,26452.66 
2019/4/17,5236.135254,5274.275391,5219.205566,5251.937988,12438480676,166.95076,0.326340321,80.8957131,63.76 ,1276.80 ,26449.54 
2019/4/18,5251.480469,5319.986328,5250.506836,5298.385742,13256489918,173.814026,0.334831961,79.03054802,64.00 ,1276.00 ,26559.54 
2019/4/19,5298.154297,5336.680176,5233.335449,5303.8125,13780238655,173.708435,0.336401506,81.95181211,64.43 ,1276.40 ,26547.42 
2019/4/20,5304.160645,5358.490723,5295.87793,5337.88623,13169647522,173.751266,0.331007744,82.35504647,64.85 ,1276.80 ,26535.30 
2019/4/21,5335.878906,5359.924805,5257.339355,5314.53125,13731844222,170.046524,0.327647394,81.43319475,65.28 ,1277.20 ,26523.17 
2019/4/22,5312.494629,5422.6875,5280.276855,5399.365234,14601631647,171.874664,0.322881362,77.11774367,65.70 ,1277.60 ,26511.05 
2019/4/23,5399.365723,5633.802246,5389.408691,5572.361816,15867308107,171.4478,0.323456638,76.71712117,66.30 ,1273.20 ,26656.39 
2019/4/24,5571.508301,5642.044434,5418.263184,5464.866699,17048033399,165.826096,0.321024473,74.7173442,65.89 ,1279.40 ,26597.05 
2019/4/25,5466.524414,5542.238281,5181.338867,5210.515625,15330283408,154.459396,0.301795121,73.19304656,65.21 ,1279.70 ,26462.08 
2019/4/26,5210.304688,5383.634277,5177.368652,5279.348145,16812108039,156.347092,0.290039376,71.59651316,63.30 ,1288.80 ,26543.33 
2019/4/27,5279.471191,5310.75,5233.635742,5268.291016,13111274675,158.434937,0.299402113,73.27659472,63.37 ,1286.37 ,26547.02 
2019/4/28,5271.746582,5326.231934,5255.683594,5285.13916,12819992055,157.295074,0.296795278,71.89170444,63.43 ,1283.93 ,26550.70 
2019/4/29,5284.858398,5311.274902,5216.487793,5247.352539,13735490672,155.201996,0.296773284,69.31300748,63.50 ,1281.50 ,26554.39 
2019/4/30,5247.726074,5363.257324,5224.189941,5350.726563,13878964573,162.166031,0.291808506,67.17771709,63.91 ,1285.70 ,26592.91 
2019/5/1,5350.914551,5418.003906,5347.645996,5402.697266,13679528236,160.818344,0.306720306,73.72560205,63.60 ,1284.20 ,26430.14 
2019/5/2,5402.422852,5522.262695,5394.217285,5505.283691,14644460907,162.122787,0.301680964,73.12887276,61.81 ,1272.00 ,26307.79 
2019/5/3,5505.552246,5865.881836,5490.20166,5768.289551,18720780005,167.952408,0.300714776,73.15727705,61.94 ,1281.30 ,26504.95 
2019/5/4,5769.202637,5886.893555,5645.469238,5831.16748,17567780765,164.026581,0.306138753,78.66627545,62.04 ,1282.13 ,26482.79 
2019/5/5,5831.068359,5833.862793,5708.035156,5795.708496,14808830722,163.450699,0.303128567,77.54112812,62.15 ,1282.97 ,26460.64 
2019/5/6,5791.693359,5802.95752,5653.6875,5746.807129,15737171804,172.653214,0.300561856,75.55518321,62.25 ,1283.80 ,26438.48 
2019/5/7,5745.599121,5988.178223,5741.395996,5829.501465,18026409032,169.79866,0.301147546,74.64312621,61.40 ,1285.60 ,25965.09 
2019/5/8,5849.481445,5989.980957,5794.71582,5982.45752,15320605299,170.948166,0.297903399,74.21684694,62.12 ,1281.40 ,25967.33 
2019/5/9,5982.316406,6183.039063,5982.316406,6174.528809,16784645410,170.289307,0.299766317,74.12328215,61.70 ,1285.20 ,25828.36 
2019/5/10,6175.822754,6434.617676,6161.519043,6378.849121,19419875367,173.142746,0.296322718,73.94666112,61.66 ,1287.40 ,25942.37 
2019/5/11,6379.666992,7333.00293,6375.69873,7204.771484,28867562329,194.304337,0.299614086,77.0062183,61.45 ,1292.20 ,25736.58 
2019/5/12,7203.507324,7503.87207,6815.770996,6972.371582,27773333679,187.325317,0.328317311,90.56300855,61.25 ,1297.00 ,25530.78 
2019/5/13,6971.178223,8047.413086,6898.282227,7814.915039,28677672181,196.846283,0.30935237,84.46695562,61.04 ,1301.80 ,25324.99 
2019/5/14,7807.884277,8268.712891,7696.391113,7994.416016,32031452226,217.148575,0.324773315,87.62886947,61.78 ,1296.30 ,25532.05 
2019/5/15,7989.374512,8216.423828,7899.106934,8205.167969,28344112919,247.153061,0.407491033,91.3049012,62.02 ,1297.80 ,25648.02 
2019/5/16,8194.500977,8320.824219,7729.608398,7884.90918,33167197581,264.01001,0.458996448,102.7802656,62.87 ,1286.20 ,25862.68 
2019/5/17,7886.925781,7929.145508,7038.124512,7343.895508,30066644905,243.764587,0.419605752,95.56479157,62.76 ,1275.70 ,25764.00 
2019/5/18,7341.664551,7447.271973,7251.504395,7271.208008,21354286561,234.59523,0.388207589,89.67761664,62.87 ,1276.23 ,25735.97 
2019/5/19,7267.962891,8261.941406,7267.962891,8197.689453,25902422039,261.292206,0.373725485,87.15399364,62.99 ,1276.77 ,25707.93 
2019/5/20,8196.923828,8200.967773,7678.781738,7978.309082,23843404339,251.86441,0.41652545,95.36000074,63.10 ,1277.30 ,25679.90 
2019/5/21,7977.969238,8062.167969,7843.339844,7963.327637,25127245056,255.215881,0.397631114,91.39810381,62.99 ,1273.20 ,25877.33 
2019/5/22,7956.291992,7997.612305,7615.987305,7680.066406,24719473174,244.698914,0.397765559,91.37524183,61.42 ,1274.20 ,25776.61 
2019/5/23,7677.269043,7943.791504,7533.196777,7881.84668,24457107820,245.965668,0.37508569,88.21450391,57.91 ,1285.40 ,25490.47 
2019/5/24,7881.695313,8140.719727,7824.44873,7987.371582,25919126990,249.484985,0.379831907,88.83902014,58.63 ,1283.60 ,25585.69 
2019/5/25,7991.885254,8117.925781,7965.976074,8052.543945,22256813106,251.759872,0.382701941,100.2366801,58.70 ,1281.43 ,25526.21 
2019/5/26,8055.206055,8687.520508,7924.67041,8673.21582,26677970091,267.069641,0.386310791,102.4431938,58.77 ,1279.27 ,25466.73 
2019/5/27,8674.072266,8907.174805,8668.705078,8805.77832,27949839563,272.86264,0.40808037,111.3320966,59.16 ,1277.10 ,25407.25 
2019/5/28,8802.757813,8807.016602,8634.72168,8719.961914,24226919266,271.768707,0.436673557,118.6236123,59.14 ,1280.10 ,25347.77 
2019/5/29,8718.591797,8755.852539,8482.728516,8659.487305,23473479966,269.455688,0.447068004,114.5910822,58.81 ,1281.00 ,25126.41 
2019/5/30,8661.760742,9008.314453,8221.273438,8319.472656,29246528551,255.858948,0.444211484,114.8635104,56.59 ,1292.40 ,25169.88 
2019/5/31,8320.286133,8586.65918,8172.550781,8574.501953,25365190957,268.113556,0.423119421,108.5564343,53.50 ,1311.10 ,24815.04 
2019/6/1,8573.839844,8625.600586,8481.578125,8564.016602,22488303543,265.391266,0.43942584,114.6788214,53.42 ,1316.70 ,24816.62 
2019/6/2,8565.473633,8809.303711,8561.235352,8742.958008,20266216022,270.225525,0.429539982,112.4047804,53.33 ,1322.30 ,24818.20 
2019/6/3,8741.74707,8743.5,8204.185547,8208.995117,22004511436,252.607925,0.445941692,114.7639186,53.25 ,1327.90 ,24819.78 
2019/6/4,8210.985352,8210.985352,7564.48877,7707.770996,24609731548,241.338791,0.425268776,106.7985243,53.48 ,1328.70 ,25332.18 
2019/6/5,7704.343262,7901.849121,7668.668457,7824.231445,21760923463,247.05101,0.400012334,101.863409,51.68 ,1333.60 ,25539.57 
2019/6/6,7819.633301,7937.34082,7571.471191,7822.023438,19474611077,249.474335,0.403393523,104.1100147,52.59 ,1342.70 ,25720.66 
2019/6/7,7826.901367,8126.15332,7788.373535,8043.951172,19141423230,250.930359,0.422371422,112.0709196,53.99 ,1346.10 ,25983.94 
2019/6/8,8036.774902,8076.891113,7837.61084,7954.12793,16522722809,245.738098,0.423156871,118.2586886,53.75 ,1340.50 ,26010.19 
2019/6/9,7949.674805,7975.974121,7583.219727,7688.077148,16610726547,233.0867,0.411545205,118.6948395,53.50 ,1334.90 ,26036.43 
2019/6/10,7692.284668,8031.909668,7586.730957,8000.32959,18689275117,247.520126,0.387051361,115.1149354,53.26 ,1329.30 ,26062.68 
2019/6/11,8004.243652,8026.394043,7772.803711,7927.714355,17107279931,245.78183,0.400943351,129.7507982,53.27 ,1331.20 ,26048.51 
2019/6/12,7925.434082,8196.648438,7862.359863,8145.857422,19034432883,260.90329,0.392972679,135.8865027,51.14 ,1336.80 ,26004.83 
2019/6/13,8145.54541,8311.567383,8087.061035,8230.923828,18669407147,256.168793,0.400999891,134.7032168,52.28 ,1343.70 ,26106.77 
2019/6/14,8230.898438,8710.636719,8183.393066,8693.833008,19831162905,264.087463,0.400896649,131.1534727,52.51 ,1344.50 ,26089.61 
2019/6/15,8689.746094,8859.12793,8618.395508,8838.375,18371033226,269.019318,0.404907366,132.0976451,52.32 ,1343.97 ,26097.25 
2019/6/16,8841.44043,9335.867188,8814.556641,8994.488281,23348550310,269.223206,0.409932101,137.6773361,52.12 ,1343.43 ,26104.89 
2019/6/17,8988.923828,9416.407227,8988.923828,9320.352539,15562951918,274.351105,0.427079846,136.6466312,51.93 ,1342.90 ,26112.53 
2019/6/18,9335.466797,9348.374023,9004.901367,9081.762695,15848210535,265.051849,0.445518123,133.9626898,53.90 ,1350.70 ,26465.54 
2019/6/19,9078.727539,9299.621094,9070.395508,9273.521484,15546809946,269.431793,0.428744319,135.7481646,53.76 ,1348.80 ,26504.00 
2019/6/20,9273.060547,9594.419922,9232.484375,9527.160156,17846823783,271.695007,0.436205547,136.5322781,56.65 ,1396.90 ,26753.17 
2019/6/21,9525.074219,10144.55664,9525.074219,10144.55664,20624008643,294.910278,0.431192459,135.8029017,57.43 ,1400.10 ,26719.13 
2019/6/22,10175.92383,11157.3457,10107.03516,10701.69141,29995204860,309.38031,0.444195434,138.6194779,57.59 ,1406.13 ,26721.93 
2019/6/23,10696.69141,11246.14453,10556.0957,10855.37109,20998326501,307.827789,0.475668985,141.8226405,57.74 ,1412.17 ,26724.74 
2019/6/24,10853.74414,11065.89648,10610.42773,11011.10254,19271652364,310.424683,0.468810865,137.1361333,57.90 ,1418.20 ,26727.54 
2019/6/25,11007.20215,11790.91699,11007.20215,11790.91699,24879684533,318.126312,0.473578245,135.8568501,57.83 ,1418.70 ,26548.22 
